Name,RegID,Status,ClinicName,Link,Specialty,PrimaryPractice,PPAddress,city
RCDSO _Test01,150000,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150000,NA,NA,NA,NA
Aaron Ferreira Anastacio,NA,NA,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150378,NA,NA,NA,NA
Ramachandran Aarthiga,150384,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=150384,NA,NA,NA,NA
Vinod Aatray,116858,Member,Convergent Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=116858,NA,Convergent Dentistry,"605 Rogers Rd #A3B, Toronto, ON, CA, M6M 1B9",Toronto
Ahmad Aazami,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=9807,NA,NA,NA,NA
Natasha Aazami,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=124671,NA,NA,NA,NA
Ruth Abacan,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=14025,NA,NA,NA,NA
Aryan Abadeh,120210,Member,SeeSmile Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=120210,NA,SeeSmile Dentistry,"332 Sheppard Ave E #101, Toronto, ON, CA, M2N 3B4",Toronto
Antonino Abate,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13727,NA,NA,NA,NA
Kostantina Abate,101995,Member,Kos Dental Studio,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=101995,NA,Kos Dental Studio,"420 Dupont St #3, Toronto, ON, CA, M5R 3P3",Toronto
Wisam Abawi,108072,Member,The Firehall Dentist,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=108072,NA,The Firehall Dentist,"4 Barton St PO Box 460, Waterdown, ON, CA, L0R 2H0",Waterdown
Azher Abbas,85550,Member,Brampton Smiles Dental Centre,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=85550,NA,Brampton Smiles Dental Centre,"2 Automatic R #114, Brampton, ON, CA, L6S 6K8",Brampton
Nabil Abbas,121715,Member,R U Smiling Dental & Medical Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=121715,NA,R U Smiling Dental & Medical Clinic,"10 Dundas St E #B 102, Toronto, ON, CA, M5B 2G9",Toronto
Saman Abbas,108154,Member,Royal Oak Dental,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=108154,NA,Royal Oak Dental,"584 Ford Dr #3, Oakville, ON, CA, L6J 0A4",Oakville
Wissam Abbas,114760,Member,Westdale Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=114760,NA,Westdale Dentistry,"875 Main St W #5, Hamilton, ON, CA, L8S 4P9",Hamilton
Kayvan Abbasi,67321,Member,Family and Cosmetic Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=67321,NA,Family and Cosmetic Dentistry,"188 Wilson Ave, North York, ON, CA, M5M 4N7",North York
Nazanin Abbasi,102735,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=102735,NA,NA,"1950 Yonge St, Toronto, ON, CA, M4S 1Z4",Toronto
Mahtab Abbaskhanidavanlou,502346,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=502346,NA,NA,"1950 Yonge St, Toronto, ON, CA, M4S 1Z4",Toronto
Banafsheh Abbasnezhad-Ghadi,37778,Member,Baycrest Hospital Dental Clinic,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=37778,NA,Baycrest Hospital Dental Clinic,"3560 Bathurst St, Toronto, ON, CA, M6A 2E1",Toronto
Ali Abbas-Tehrani,119977,Member,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=119977,NA,Georgian Dental Barrie,"149 Bayfield St #1, Barrie, ON, CA, L4M 3B3",Barrie
Hesam Abbas-Tehrani,109317,Member,True North Dentistry,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=109317,Periodontist,True North Dentistry,"201 Matthew Boyd Cres #2, Newmarket, ON, CA, L3X 3C7",Newmarket
Keyvan Abbaszadeh,13678,Member,Interface Centre for OMS,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=13678,Oral & Maxillofacial Surgeon,Interface Centre for OMS,"220 Oxford St W, London, ON, CA, N6H 1S4",London
Shervin Abbaszadeh,55775,Member,Clearly Orthodontics,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=55775,Orthodontist,Clearly Orthodontics,"1100 Sheppard Ave E #304, Toronto, ON, CA, M2K 2W1",Toronto
Patricia Abbey,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=10680,NA,NA,NA,NA
Simon Abbey,NA,Not Entitled to Practice,NA,https://www.rcdso.org/find-a-dentist/search-results/dentist?id=55250,NA,NA,NA,NA
